id,keyword_key,name,level
1,1:action,action,1
2,1:grammar,grammar,1
3,1:representation,representation,1
4,1:motivation,motivation,1
5,1:method,method,1
6,1:archeology,archeology,1
7,1:science,science,1
8,1:varia,varia,1
9,1:syntax,syntax,1
10,1:optics,optics:,1
11,1:http_rd_springer_com_book_10_1007_978_3_031_25351_5,http://rd.springer.com/book/10.1007/978-3-031-25351-5,1
12,1:vagueness,vagueness,1
13,1:bein,bein,1
14,1:determinism,determinism,1
15,1:http_rd_springer_com_book_10_1007_978_3_030_71430_7,http://rd.springer.com/book/10.1007/978-3-030-71430-7,1
16,1:meaning,meaning,1
17,1:http_rd_springer_com_book_10_1007_978_3_030_85939_8,http://rd.springer.com/book/10.1007/978-3-030-85939-8,1
18,1:perception,perception,1
19,1:epistemology,epistemology,1
20,1:information,information,1
21,1:bibliography,bibliography,1
22,1:anthropology,anthropology,1
23,1:http_rd_springer_com_referencework_10_1007_978_81_322_2577_5,http://rd.springer.com/referencework/10.1007/978-81-322-2577-5,1
24,1:philosophical_humour,philosophical-humour,1
25,1:knowledge,knowledge,1
26,1:mereology,mereology,1
27,1:causation,causation,1
28,1:religion,religion,1
29,1:http_rd_springer_com_book_10_1007_978_3_031_22986_2,http://rd.springer.com/book/10.1007/978-3-031-22986-2,1
30,1:ece,ece,1
31,1:mind,mind:,1
32,1:agency,agency,1
33,1:http_rd_springer_com_book_10_1007_978_3_658_16239_9,http://rd.springer.com/book/10.1007/978-3-658-16239-9,1
34,1:truth,truth,1
35,1:self,self,1
36,1:http_rd_springer_com_book_10_1007_978_3_031_32657_8,http://rd.springer.com/book/10.1007/978-3-031-32657-8,1
37,1:biology,biology,1
38,1:http_rd_springer_com_book_10_1007_978_3_031_16293_0,http://rd.springer.com/book/10.1007/978-3-031-16293-0,1
39,1:exemplification,exemplification,1
40,1:http_rd_springer_com_book_10_1007_978_3_031_15436_2,http://rd.springer.com/book/10.1007/978-3-031-15436-2,1
41,1:identity,identity,1
42,1:history_of_philoosophy,history-of-philoosophy,1
43,1:soi,soi,1
44,1:value,value:,1
45,1:logic,logic,1
46,1:explanation,explanation,1
47,1:sex,sex,1
48,1:ontology,ontology,1
49,1:quantum_mechanics,quantum-mechanics,1
50,1:reference,reference,1
51,1:economics,economics,1
52,1:theological_determinism,theological-determinism,1
53,1:http_rd_springer_com_book_10_1007_978_3_031_29261_3,http://rd.springer.com/book/10.1007/978-3-031-29261-3,1
54,1:sc,sc,1
55,1:conditionals,conditionals,1
56,1:http_rd_springer_com_book_10_1007_978_3_030_85480_5,http://rd.springer.com/book/10.1007/978-3-030-85480-5,1
57,1:arguments_for_the_existence_of_god,arguments-for-the-existence-of-God,1
58,1:history_of_philosophy,history-of-philosophy,1
59,1:law,law,1
60,1:linguistics,linguistics,1
62,1:http_rd_springer_com_book_10_1007_978_3_030_77807_1,http://rd.springer.com/book/10.1007/978-3-030-77807-1,1
63,1:encyclopedia,encyclopedia,1
64,1:space_spacetime,space/spacetime,1
65,1:complexity,complexity,1
66,1:induction,induction,1
67,1:http_rd_springer_com_book_10_1007_978_3_030_85517_8,http://rd.springer.com/book/10.1007/978-3-030-85517-8,1
68,1:histr,histr,1
69,1:sociology,sociology,1
70,1:chemistry,chemistry,1
71,1:physics,physics,1
72,1:history,history,1
73,1:http_rd_springer_com_book_10_1007_978_3_030_86308_1,http://rd.springer.com/book/10.1007/978-3-030-86308-1,1
74,1:geology,geology,1
75,1:education,education,1
76,1:pragmatics,pragmatics,1
77,1:metaphils,metaphils,1
78,1:time,time,1
79,1:medicine,medicine,1
80,1:skepticism,skepticism,1
81,1:decision_theory,decision-theory,1
82,1:proceedings,proceedings,1
83,1:universals,universals,1
85,1:mathematics,mathematics,1
87,1:editorial,editorial,1
88,1:metaphysics,metaphysics,1
89,1:http_rd_springer_com_book_10_1007_978_3_030_89750_5,http://rd.springer.com/book/10.1007/978-3-030-89750-5,1
90,1:http_rd_springer_com_book_10_1007_978_3_031_04564_6,http://rd.springer.com/book/10.1007/978-3-031-04564-6,1
91,1:rationality,rationality,1
93,1:language,language,1
94,1:http_rd_springer_com_book_10_1007_978_3_031_40776_5,http://rd.springer.com/book/10.1007/978-3-031-40776-5,1
95,1:paradoxes,paradoxes,1
96,1:determination,determinatioN,1
97,1:p_u_ol,"p{\""u}ol",1
98,1:belief,belief,1
99,1:argumentation,argumentation,1
100,1:psychiatry,psychiatry,1
101,1:http_rd_springer_com_book_10_1007_978_3_031_36163_0,http://rd.springer.com/book/10.1007/978-3-031-36163-0,1
102,1:culture,culture,1
103,1:psychology,psychology,1
104,1:friendship,friendship,1
